horas_estudos,frequencia,nota,aprovado
0.4,36,6.6,1
0.3,66,3.5,0
5.7,75,6.5,1
0.5,28,8.3,1
1.3,55,3.7,0
2.7,50,4.3,0
6.4,49,6.5,1
2.3,80,3.9,0
0.9,49,8.0,1
3.5,29,2.4,0
3.0,82,4.1,0
0.1,61,2.9,0
7.3,48,7.2,1
8.2,65,8.6,1
1.9,53,7.5,1
7.5,76,6.4,1
2.4,46,2.3,0
7.1,85,3.9,0
4.9,20,3.7,0
8.8,70,7.6,1
1.0,82,4.9,0
2.3,31,3.4,0
1.6,63,3.6,0
8.4,59,7.0,1
0.6,28,0.5,0
0.0,57,1.3,0
9.0,83,9.3,1
6.2,27,4.2,0
2.0,64,4.3,0
6.6,90,6.6,1
0.8,90,4.2,0
8.0,85,4.8,0
0.9,75,4.5,0
6.4,38,4.8,0
4.5,25,2.7,0
2.7,28,7.4,1
9.7,70,8.7,1
8.0,46,7.4,1
3.1,50,3.2,0
4.2,61,5.7,1
4.6,74,5.1,1
0.9,24,6.6,1
1.8,40,2.1,0
6.0,38,5.2,1
9.1,30,7.0,1
8.3,82,7.9,1
4.8,50,3.9,0
6.5,52,5.4,1
3.1,44,3.9,0
5.3,33,4.4,0
3.6,49,8.2,1
7.8,34,4.9,0
9.2,21,7.1,1
3.6,51,7.9,1
6.7,86,7.8,1
4.3,81,5.3,1
6.3,76,3.4,0
6.0,64,5.7,1
5.5,27,4.1,0
6.7,61,5.8,1
3.2,86,5.4,1
1.0,80,3.5,0
1.8,62,2.9,0
4.5,38,5.0,0
0.8,79,3.5,0
7.9,82,3.0,0
6.6,33,6.4,1
7.9,76,8.2,1
7.5,92,5.0,0
6.0,66,5.6,1
3.7,53,6.0,1
6.3,86,6.9,1
6.3,58,5.6,1
7.9,97,9.7,1
0.2,27,1.0,0
0.5,48,3.2,0
6.3,83,4.8,0
6.4,92,8.3,1
0.5,69,2.6,0
0.8,67,3.5,0
9.8,84,9.7,1
7.0,40,4.6,0
0.3,43,2.4,0
6.2,40,4.9,0
6.3,22,4.7,0
8.6,40,7.5,1
3.8,43,4.8,0
5.0,81,6.4,1
9.0,21,5.8,1
8.9,29,6.2,1
3.4,43,6.9,1
5.2,28,4.6,0
4.2,53,4.1,0
2.5,58,3.3,0
7.7,71,6.8,1
5.4,94,7.2,1
3.5,35,2.9,0
3.9,28,4.4,0
8.0,69,7.4,1
1.6,54,3.4,0
10.0,90,3.5,0
5.0,44,4.3,0
1.9,28,2.1,0
3.4,34,7.3,1
3.2,70,5.7,1
6.1,27,5.8,1
2.7,28,6.9,1
2.1,54,8.1,1
5.7,54,5.7,1
1.6,54,3.8,0
5.8,71,7.4,1
3.4,94,4.9,0
1.3,80,3.1,0
1.6,32,1.4,0
6.5,77,8.0,1
3.6,69,6.0,1
9.1,84,9.8,1
1.4,84,3.3,0
2.9,53,6.3,1
9.8,96,3.5,0
2.5,95,5.6,1
1.1,55,7.8,1
6.4,89,6.8,1
10.0,94,4.1,0
3.4,35,3.8,0
1.6,49,7.0,1
9.9,66,9.4,1
4.2,50,5.5,1
8.7,93,2.8,0
0.7,38,6.9,1
1.5,37,1.6,0
9.7,99,9.1,1
0.4,28,2.2,0
7.5,78,4.1,0
5.6,73,5.9,1
4.5,76,5.9,1
0.4,84,2.6,0
4.9,85,6.5,1
8.9,89,8.1,1
5.3,33,3.3,0
8.8,99,4.6,0
7.5,43,5.9,1
1.5,92,3.8,0
5.0,60,6.5,1
0.6,59,3.1,0
1.7,73,3.4,0
0.9,48,6.7,1
5.0,44,4.0,0
2.7,24,2.3,0
9.7,58,8.5,1
8.0,39,5.6,1
1.3,86,3.0,0
3.1,23,8.2,1
1.3,47,6.9,1
1.7,63,3.7,0
9.8,76,8.8,1
4.6,84,5.1,1
9.4,29,7.9,1
8.7,58,8.4,1
6.6,75,6.7,1
0.8,38,8.4,1
4.9,47,4.1,0
0.9,44,6.9,1
1.7,69,4.6,0
0.7,46,2.8,0
3.1,57,4.8,0
3.0,79,4.7,0
0.6,94,5.2,1
9.5,70,8.2,1
5.4,32,5.1,1
1.1,32,2.2,0
4.2,61,4.3,0
1.7,86,3.8,0
3.9,36,3.2,0
1.8,36,2.2,0
0.3,23,1.7,0
3.0,24,6.6,1
4.9,73,5.6,1
8.3,81,7.1,1
7.1,38,5.5,1
5.1,43,5.4,1
1.7,49,8.2,1
6.4,96,8.6,1
8.6,31,6.3,1
7.9,92,2.6,0
4.2,38,3.7,0
4.3,29,4.4,0
4.8,62,5.3,1
0.6,23,0.4,0
6.0,96,6.5,1
2.5,36,8.6,1
3.5,38,6.5,1
0.4,35,7.3,1
4.4,77,6.2,1
1.6,47,8.3,1
1.0,26,7.8,1
6.2,85,6.8,1
5.2,25,5.1,1
2.4,61,3.3,0
6.6,71,7.9,1
2.2,77,4.0,0
8.8,98,8.9,1
6.7,59,5.9,1
7.1,87,2.6,0
9.4,75,9.1,1
5.6,87,6.0,1
5.2,87,7.1,1
9.6,86,4.2,0
6.8,51,6.7,1
1.3,51,8.4,1
1.0,23,8.7,1
8.4,46,6.5,1
2.2,74,4.9,0
6.7,73,6.5,1
7.9,23,4.8,0
8.1,36,7.0,1
7.5,24,5.7,1
0.9,35,1.6,0
4.1,39,3.4,0
4.1,32,4.8,0
9.0,54,7.2,1
9.7,34,6.6,1
4.3,68,4.5,0
7.9,35,6.5,1
3.9,36,3.9,0
3.4,95,4.9,0
4.7,73,5.1,1
3.9,77,4.5,0
6.2,49,5.9,1
1.1,45,7.1,1
8.9,56,8.1,1
9.6,99,4.9,0
2.5,54,8.2,1
3.2,30,3.8,0
5.4,42,4.1,0
2.5,41,8.2,1
2.3,73,4.9,0
0.4,38,2.5,0
5.9,26,5.2,1
2.0,80,4.2,0
3.9,91,7.1,1
7.0,55,5.4,1
2.0,62,3.2,0
9.1,55,7.3,1
0.5,72,3.9,0
7.4,78,8.0,1
6.7,85,3.1,0
5.5,41,5.5,1
6.7,76,7.1,1
4.3,81,5.3,1
6.9,71,5.8,1
0.9,91,4.2,0
7.7,89,8.8,1
0.1,90,4.2,0
8.0,68,6.5,1
6.0,39,6.3,1
8.6,96,10.0,1
6.3,85,4.2,0
9.6,58,7.9,1
2.2,75,5.4,1
1.1,65,2.9,0
6.6,92,2.9,0
5.0,27,4.4,0
6.4,89,7.9,1
5.4,55,6.2,1
9.4,59,8.5,1
10.0,63,7.8,1
0.5,37,6.4,1
0.3,46,2.7,0
0.9,24,0.5,0
0.7,47,2.2,0
6.1,50,6.0,1
0.8,82,4.1,0
4.0,75,5.9,1
8.2,50,6.3,1
7.6,95,3.9,0
0.6,77,2.3,0
0.5,35,0.5,0
7.3,40,7.0,1
5.6,63,6.7,1
7.4,66,6.8,1
8.2,76,3.8,0
9.0,49,7.1,1
1.7,87,5.3,1
6.6,36,5.3,1
6.1,45,5.0,0
9.5,81,3.4,0
9.5,73,7.4,1
6.6,27,4.0,0
6.3,37,6.4,1
0.4,21,1.1,0
0.6,95,5.3,1
8.4,64,8.7,1
5.0,63,4.8,0
5.4,68,6.6,1
9.2,80,9.3,1
5.2,47,5.8,1
8.5,22,5.7,1
5.6,30,4.8,0
0.3,36,2.0,0
2.3,30,3.4,0
7.6,99,4.1,0
1.9,29,3.5,0
7.1,80,3.9,0
9.6,33,7.4,1
3.1,49,6.9,1
3.0,31,4.0,0
9.4,75,4.8,0
6.7,51,5.0,0
6.6,58,6.0,1
0.8,76,4.7,0
1.7,45,3.6,0
1.2,53,2.8,0
8.0,85,3.2,0
6.4,88,4.2,0
1.6,25,1.4,0
6.1,20,5.4,1
7.8,52,7.3,1
3.7,32,2.6,0
5.3,71,6.3,1
3.2,80,4.0,0
7.8,88,3.1,0
7.4,84,4.9,0
9.9,99,3.0,0
9.1,66,7.2,1
2.3,54,6.5,1
1.0,25,1.2,0
2.7,42,4.2,0
9.9,95,10.0,1
7.4,88,8.6,1
6.8,82,3.8,0
3.4,54,5.2,1
2.2,28,1.4,0
9.8,26,6.3,1
3.6,52,3.7,0
0.4,37,1.6,0
3.9,55,8.6,1
3.1,40,2.7,0
8.9,82,3.7,0
5.2,51,4.8,0
6.6,33,4.3,0
3.8,44,5.1,1
6.4,73,7.2,1
6.7,50,5.1,1
0.7,46,8.6,1
6.4,32,6.3,1
7.1,79,7.0,1
0.7,27,2.3,0
4.5,54,4.7,0
6.5,38,5.8,1
8.8,59,7.9,1
